City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
627,Honiara,SB,77.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
630,Paka,MY,76.98,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
632,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
640,Namatanai,PG,79.61,light rain,-3.6667,152.4333,Seagulls Inn Namatani
644,Laredo,US,78.13,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
646,Shingu,JP,79.93,overcast clouds,33.7333,135.9833,Shingu UI Hotel
647,Barcelona,ES,82.15,few clouds,41.3888,2.159,Axel Hotel Barcelona
648,Nichinan,JP,78.91,heavy intensity rain,31.6,131.3667,Guest House Aki
649,San Policarpo,PH,79.75,overcast clouds,12.1791,125.5072,Agapita M. Nicart
655,Kilindoni,TZ,78.1,few clouds,-7.9139,39.6668,Bustani B&B
658,Shaoyang,CN,86.41,broken clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
659,Pundaguitan,PH,84.25,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
676,Cartagena,CO,81.03,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
682,Goleta,TN,82.4,few clouds,36.8181,10.305,فندق اجنحة كورال
686,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
690,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
691,Mount Pleasant,US,78.01,clear sky,32.7941,-79.8626,Best Western Patriots Point
695,Katobu,ID,76.69,overcast clouds,-4.9408,122.5276,La Ode Husein
696,Carutapera,BR,85.3,overcast clouds,-1.195,-46.02,Lidera
699,Tual,ID,81.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
701,Kontagora,NG,82.44,light rain,10.3999,5.4695,Queens Guest Inn
702,Ponta Delgada,PT,77.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
703,Biak,ID,77.23,overcast clouds,-0.9131,122.8766,Penginapan Kim
