City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Salalah,OM,17.0151,54.0924,82.49,89,100,11.5,overcast clouds
241,Norman Wells,CA,65.282,-126.8329,41.04,93,75,2.3,broken clouds
242,Lucapa,AO,-8.4192,20.7447,88.93,34,100,5.26,overcast clouds
243,Kletnya,RU,53.3897,33.2171,54.68,89,100,13.98,overcast clouds
244,Alofi,NU,-19.0595,-169.9187,73.29,94,1,6.91,clear sky
245,Garden City,US,42.3256,-83.331,71.55,78,75,6.91,broken clouds
246,Makat,KZ,47.6469,53.3463,86.77,22,12,10.51,few clouds
247,Verkhoyansk,RU,67.5447,133.385,37.33,58,100,3.62,light rain
248,Hamilton,US,39.1834,-84.5333,66.74,91,40,6.91,fog
249,Jiuquan,CN,39.7432,98.5174,66.88,45,100,10.8,overcast clouds
250,Esmeraldas,BR,-19.7625,-44.3139,66.31,64,99,9.57,overcast clouds
251,Hope,US,33.6671,-93.5916,73.45,79,0,3.83,clear sky
252,Mar Del Plata,AR,-38.0023,-57.5575,56.95,93,100,11.99,overcast clouds
253,Nordborg,DK,55.0573,9.7408,57.09,67,75,16.11,light rain
254,Conakry,GN,9.538,-13.6773,82.47,78,75,9.22,broken clouds
255,Kindu,CD,-2.95,25.95,72.93,92,100,2.77,overcast clouds
256,Churintzio,MX,20.15,-102.0667,57.96,95,100,2.64,overcast clouds
257,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,77,40,8.05,scattered clouds
258,Shipunovo,RU,52.1582,82.2173,55.56,36,0,6.31,clear sky
259,Takoradi,GH,4.8845,-1.7554,79.43,76,56,13.11,light rain
260,Hjelset,NO,62.7833,7.4833,50.97,76,75,4.61,light intensity shower rain
261,Gambela,ET,8.25,34.5833,85.86,61,14,4.59,few clouds
262,Tigil,RU,57.8,158.6667,35.85,83,0,5.66,clear sky
263,Vanimo,PG,-2.6741,141.3028,79.93,83,98,5.1,overcast clouds
264,Filingue,NE,14.3521,3.3168,85.87,55,94,6.46,overcast clouds
265,Okha,RU,53.5739,142.9478,51.62,98,100,18.9,light rain
266,Usinsk,RU,65.9939,57.5281,47.64,95,100,13.62,overcast clouds
267,Airai,TL,-8.9266,125.4092,61.41,66,91,2.1,overcast clouds
268,Kalmunai,LK,7.4167,81.8167,81.93,78,82,7.52,broken clouds
269,Kaili,ID,-3.4626,120.2147,67.37,96,100,2.44,overcast clouds
270,Priiskovyy,RU,51.9333,116.6333,40.17,46,70,10.6,broken clouds
271,Zlobin,HR,45.2924,14.6541,60.15,63,20,6.91,few clouds
272,Cherskiy,RU,68.75,161.3,32.63,68,93,8.05,overcast clouds
273,Turukhansk,RU,65.8167,87.9833,48.29,77,100,10.13,overcast clouds
274,Masyaf,SY,35.0653,36.3406,89.13,25,0,11.79,clear sky
275,Walvis Bay,NA,-22.9575,14.5053,67.15,55,0,9.22,clear sky
276,Haines Junction,CA,60.7522,-137.5108,33.75,93,100,0.0,overcast clouds
277,Sola,VU,-13.8833,167.55,79.47,89,75,6.91,broken clouds
278,Panzhihua,CN,26.5851,101.7128,76.32,75,1,1.97,clear sky
279,Mezen,RU,65.8522,44.24,51.94,87,96,7.7,overcast clouds
280,Ancud,CL,-41.8697,-73.8203,43.23,89,100,5.06,light rain
281,Bridlington,GB,54.0831,-0.1919,58.89,75,100,19.6,overcast clouds
282,Tura,IN,25.5198,90.2201,76.51,94,100,2.3,overcast clouds
